id,longitude,latitude,zoom,heading,tilt,width,height
136,15.0872252,37.495751,75.0,246.22,78.95,200.0,200.0
137,15.0869765,37.4947429,75.0,68.29,73.17,200.0,200.0
138,15.0869356,37.4945904,24.6,30.49,86.64,200.0,200.0
139,15.0868937,37.494421,46.9,34.88,82.29,200.0,200.0
140,15.0853812,37.4930334,47.6,149.99,82.63,200.0,200.0
141,15.0852313,37.4930648,48.9,266.05,75.99,200.0,200.0
142,15.0850077,37.4932101,25.4,346.77,87.82,200.0,200.0
143,15.0850701,37.4936056,20.5,20.17,87.08,200.0,200.0
144,15.0850701,37.4936056,47.1,49.5,84.47,200.0,200.0
145,15.0850267,37.4933907,75.0,247.1,79.43,200.0,200.0
146,15.0826782,37.4933514,46.9,332.91,84.46,200.0,200.0
147,15.0822353,37.4934013,51.3,21.85,84.59,200.0,200.0
148,15.0811976,37.4935097,48.2,252.94,82.33,200.0,200.0
149,15.0803865,37.4936272,24.6,311.21,88.84,200.0,200.0
150,15.0630982,37.4904836,48.9,322.0,85.52,200.0,200.0
151,15.0624273,37.4909446,24.2,241.14,87.88,200.0,200.0
152,15.0616611,37.4913246,48.9,158.98,79.41,200.0,200.0
153,15.0590306,37.4920156,75.0,348.42,71.0,200.0,200.0
155,15.0590306,37.4920156,28.3,250.11,85.34,512.0,512.0
157,15.0587954,37.4921219,18.1,213.7,86.23,512.0,512.0
158,15.0585192,37.492226,48.9,236.0,96.7,512.0,512.0
159,15.0562969,37.4930155,23.4,330.74,97.31,512.0,512.0
160,15.0559022,37.4931964,15.0,281.57,94.57,512.0,512.0
161,15.0543402,37.4936563,15.6,269.92,99.14,512.0,512.0
162,15.0543402,37.4936563,72.2,208.6,92.86,512.0,512.0
163,15.0543631,37.4949998,48.9,36.06,82.9,512.0,512.0
164,15.0543319,37.495283,24.1,194.37,98.54,512.0,512.0
165,15.0516361,37.4957746,25.2,232.99,94.31,512.0,512.0
166,15.051069,37.4957486,75.0,268.91,89.39,512.0,512.0
167,15.0505414,37.4957335,22.8,328.16,86.23,512.0,512.0
168,15.0500988,37.4958436,48.9,294.08,80.57,512.0,512.0
169,15.0500988,37.4958436,89.7,165.29,95.64,512.0,512.0
170,15.0499959,37.4959883,35.9,287.66,81.68,512.0,512.0
171,15.0496187,37.4964666,48.8,21.05,74.43,512.0,512.0
172,15.0489586,37.4970762,24.7,130.05,91.02,512.0,512.0
173,15.0491262,37.497057,25.9,298.9,88.9,512.0,512.0
174,15.048976,37.4974081,15.0,171.51,91.71,512.0,512.0
175,15.0482712,37.4970715,15.0,180.07,91.21,512.0,512.0
176,15.048209,37.4970091,48.9,283.73,91.45,512.0,512.0
177,15.0471045,37.495983,25.2,201.49,83.51,512.0,512.0
178,15.0471036,37.4957928,75.0,308.83,70.69,512.0,512.0
179,15.0471089,37.4951642,15.0,68.54,84.81,512.0,512.0
180,15.0462678,37.4933621,75.0,260.56,90.35,512.0,512.0
181,15.0464689,37.4930213,75.0,292.05,89.76,512.0,512.0
182,15.046715,37.4931612,48.9,257.69,91.05,512.0,512.0
183,15.0465344,37.4930265,75.0,229.79,92.17,512.0,512.0
184,15.046254,37.4928222,72.1,181.96,90.6,512.0,512.0
185,15.0454565,37.4924858,75.0,299.39,83.73,512.0,512.0
186,15.045402,37.4925591,48.9,178.24,94.51,512.0,512.0
187,15.0445855,37.492173,43.7,215.84,86.6,512.0,512.0
